标的,变体,窗口,收益%,回撤%,Sharpe,Calmar,交易数
胜宏科技,F2 只留B1+B2,25-01~26-09,92.59978808505586,-55.80917540070702,0.9065650386086052,0.8836756293957567,32
胜宏科技,F2 只留B1+B2,2026,-33.2757100248566,-37.852229093698554,-1.339394352123219,-1.196765015833866,21
胜宏科技,F3 现配置+两融gate,25-01~26-09,107.97455193891734,-56.592371041240106,0.9839796385508217,0.9983470863495008,21
胜宏科技,F3 现配置+两融gate,2026,-28.214079328264486,-32.06662501491265,-1.1660602865547445,-1.216187857472995,11
胜宏科技,F4 B1+B2+两融gate,25-01~26-09,135.0254877761854,-50.94639105105445,1.1051713154614071,1.3475428915228087,18
胜宏科技,F4 B1+B2+两融gate,2026,-25.99959110597039,-29.970762615522297,-1.0619933193461513,-1.206906685438227,10
国际复材,F0 现配置(A|B1|B2|B3|C),25-01~26-09,1176.5144366578343,-32.405719627262044,2.537794251041867,11.5655378115621,29
国际复材,F0 现配置(A|B1|B2|B3|C),2026,598.8804559948949,-32.405707424585486,3.561542799046294,52.95283478288977,17
国际复材,F1 砍掉B3(A|B1|B2|C),25-01~26-09,1176.5144366578343,-32.405719627262044,2.537794251041867,11.5655378115621,29
国际复材,F1 砍掉B3(A|B1|B2|C),2026,598.8804559948949,-32.405707424585486,3.561542799046294,52.95283478288977,17
国际复材,F2 只留B1+B2,25-01~26-09,1362.4567828228378,-28.88036909879349,2.6681119544363283,14.403174570422317,23
国际复材,F2 只留B1+B2,2026,671.9700071021263,-28.88038039031271,3.7403941313234195,69.46969332187348,15
国际复材,F3 现配置+两融gate,25-01~26-09,1198.4991448604521,-32.405715312505265,2.5934720163205567,11.71936706057725,17
国际复材,F3 现配置+两融gate,2026,601.0909373645023,-32.405707424585486,3.6434984443256475,53.217333113225216,9
国际复材,F4 B1+B2+两融gate,25-01~26-09,1387.6419908527062,-28.880366480025856,2.72724281745373,14.590737313226828,11
国际复材,F4 B1+B2+两融gate,2026,674.4115653942868,-28.88038039031271,3.8286519311734803,69.81391412479798,7
