收益%,回撤%,Sharpe,Calmar,交易数,在场%,标的,变体,ATR%中位
117.84067240862082,-30.075220016865035,1.0943639357786559,1.4070436551997618,6,30.575539568345324,工业富联,FIX 买带5/卖带5+追踪18%,4.513397612026111
137.65347655187443,-25.405014358666524,1.1950456503018125,1.8911381830421932,7,29.676258992805753,工业富联,ATR k=0.6 无追踪,4.513397612026111
101.6780267225093,-25.519726311579248,1.0228553097361324,1.466722417700199,10,28.23741007194245,工业富联,ATR k=0.6 追踪2.0xATR,4.513397612026111
76.27861882890812,-28.585273234023965,0.863551407494993,1.0248821084079347,9,26.978417266187048,工业富联,ATR k=1.0 追踪2.0xATR,4.513397612026111
77.27939551571399,-36.36598756911859,0.8568740523681582,0.8147370720045044,15,26.978417266187048,工业富联,ATR k=0.4 追踪1.5xATR,4.513397612026111
245.45921040499334,-41.93421897346663,1.2255712164873287,1.797976910308116,7,98.7410071942446,工业富联,满仓+25%追踪(无趋势过滤),4.513397612026111
97.40119897360735,-50.89466103600544,0.7927754918061087,0.7093417314816164,20,96.40287769784173,工业富联,满仓+2.5xATR追踪,4.513397612026111
695.74288594341,-54.10092622985151,1.563842544124054,2.8837605682114464,1,99.82014388489209,胜宏科技,买入持有,5.915200257959556
134.76125459080964,-39.028286089315024,0.9343385669470708,1.210021534377564,9,43.884892086330936,胜宏科技,FIX 买带5/卖带5,5.915200257959556
134.76125459080964,-39.028286089315024,0.9343385669470708,1.210021534377564,9,43.884892086330936,胜宏科技,FIX 买带5/卖带5+追踪18%,5.915200257959556
109.4573861686405,-38.48912218508783,0.8438923478252268,1.0342708584056266,11,42.62589928057554,胜宏科技,ATR k=0.6 无追踪,5.915200257959556
113.31799541794538,-42.87833828613119,0.8801428616616908,0.9555006992393084,14,39.92805755395683,胜宏科技,ATR k=0.6 追踪2.0xATR,5.915200257959556
108.9995045759653,-41.93230154454891,0.8729029795205643,0.9460385439554633,12,39.92805755395683,胜宏科技,ATR k=1.0 追踪2.0xATR,5.915200257959556
47.80078045377471,-52.78543642433012,0.5604610490497768,0.3670023008469517,24,39.20863309352518,胜宏科技,ATR k=0.4 追踪1.5xATR,5.915200257959556
883.787100989969,-50.47622059832857,1.690311067489818,3.6027108903101497,8,98.56115107913669,胜宏科技,满仓+25%追踪(无趋势过滤),5.915200257959556
614.4022673680481,-56.37567028693942,1.50476620775709,2.550796835690868,18,96.76258992805755,胜宏科技,满仓+2.5xATR追踪,5.915200257959556
670.1348726415288,-50.81339663927058,1.546112789086409,2.996189199417809,1,99.82014388489209,国际复材,买入持有,4.823670585503613
822.8246107857896,-28.880359124122023,1.9086650367760074,6.017814320825725,5,48.561151079136685,国际复材,FIX 买带5/卖带5,4.823670585503613
828.6856164829704,-28.109108527222727,1.9191740864941926,6.210919882602408,7,47.84172661870504,国际复材,FIX 买带5/卖带5+追踪18%,4.823670585503613
504.4544075291235,-44.98418304711591,1.5986637905791203,2.8013865446445823,12,42.26618705035971,国际复材,ATR k=0.6 无追踪,4.823670585503613
584.7134653810241,-43.78888453199381,1.7030788463485937,3.1779167323941686,17,40.647482014388494,国际复材,ATR k=0.6 追踪2.0xATR,4.823670585503613
451.8841166334755,-45.38246403227812,1.5432473367128425,2.57559502784662,15,41.54676258992806,国际复材,ATR k=1.0 追踪2.0xATR,4.823670585503613
351.7264092704773,-43.11161607383459,1.409622785629599,2.2747439158097316,25,37.589928057553955,国际复材,ATR k=0.4 追踪1.5xATR,4.823670585503613
584.1562822724795,-56.155224858983985,1.4809116916935479,2.476514045659501,8,98.56115107913669,国际复材,满仓+25%追踪(无趋势过滤),4.823670585503613
