date,open,high,low,close,volume,amount,turnover
2025-01-21,3.38,3.4,3.25,3.27,38126425.0,125302943.0,0.027147975737841282
2025-01-22,3.25,3.26,3.21,3.24,17007839.0,55024690.0,0.01211045621311494
2025-01-23,3.28,3.36,3.25,3.25,23673062.0,78230522.0,0.0168564378332459
2025-01-24,3.26,3.28,3.23,3.27,16974996.0,55341580.0,0.012087070307744637
2025-01-27,3.29,3.36,3.24,3.24,17312600.0,56903883.0,0.012327461721337654
2025-02-05,3.27,3.32,3.25,3.28,17560688.0,57691766.0,0.012504113138428283
2025-02-06,3.28,3.37,3.25,3.36,26318800.0,87542921.0,0.01874033938007818
2025-02-07,3.36,3.5,3.35,3.46,38308553.0,132156788.0,0.02727766024209736
2025-02-10,3.47,3.5,3.43,3.49,26363200.0,91403219.0,0.018771954463914654
2025-02-11,3.49,3.5,3.41,3.43,21213200.0,72797645.0,0.015104889559458426
2025-02-12,3.42,3.47,3.41,3.46,21323500.0,73363869.0,0.015183428833043187
2025-02-13,3.48,3.51,3.44,3.47,27300100.0,95089342.0,0.019439075455950586
2025-02-14,3.48,3.51,3.45,3.48,21081723.0,73408135.0,0.015011271172576252
2025-02-17,3.49,3.56,3.47,3.51,27885727.0,97898946.0,0.019856072003290776
2025-02-18,3.51,3.51,3.38,3.39,24264884.0,83597797.0,0.017277845539243008
2025-02-19,3.42,3.46,3.38,3.45,16612283.0,56780243.0,0.01182879999460094
2025-02-20,3.43,3.48,3.42,3.47,18276944.0,63096065.0,0.01301412425303143
2025-02-21,3.47,3.47,3.4,3.45,21049136.0,72326791.0,0.014988067552374015
2025-02-24,3.44,3.55,3.43,3.53,30691725.0,107023027.0,0.02185408691353823
2025-02-25,3.5,3.6,3.45,3.57,36906600.0,131219555.0,0.02627939759277753
2025-02-26,3.54,3.62,3.54,3.6,28042941.0,100368225.0,0.019968016458026542
2025-02-27,3.61,3.63,3.51,3.56,26254299.0,93529290.0,0.018694411350291318
2025-02-28,3.54,3.57,3.46,3.48,23969938.0,84339426.0,0.017067828815881893
2025-03-03,3.48,3.54,3.47,3.5,19039931.0,66783621.0,0.013557410243372467
2025-03-04,3.48,3.52,3.47,3.52,15912000.0,55617729.0,0.011330162477613112
2025-03-05,3.5,3.52,3.45,3.47,17606252.0,61091282.0,0.01253655705013831
2025-03-06,3.47,3.52,3.47,3.51,19159270.0,67057950.0,0.013642385749903127
2025-03-07,3.5,3.54,3.46,3.47,22401500.0,78398998.0,0.01595102028294684
