date,open,high,low,close,volume
2025-08-08,4587.05,4626.681,4569.352,4592.234,1743836649
2025-08-11,4602.2,4665.005,4601.942,4655.547,1725740477
2025-08-12,4656.744,4681.471,4633.82,4681.471,1610941962
2025-08-13,4695.741,4773.908,4683.355,4773.857,1857478711
2025-08-14,4794.897,4825.578,4735.768,4753.844,2198292123
2025-08-15,4739.963,4867.538,4738.758,4852.191,1909016170
2025-08-18,4875.533,4959.592,4847.372,4926.114,2231581303
2025-08-19,4916.415,4945.837,4883.783,4898.63,1985174557
2025-08-20,4877.288,4936.672,4838.523,4935.52,1896031474
2025-08-21,4950.704,4987.81,4917.346,4936.682,1887820731
2025-08-22,4928.543,5041.72,4928.543,5041.72,1917565287
2025-08-25,5085.494,5135.005,5032.351,5108.896,2403622526
2025-08-26,5095.88,5156.115,5066.075,5115.795,2406895746
2025-08-27,5116.047,5205.625,5035.983,5035.983,2682927073
2025-08-28,5015.786,5135.053,4987.097,5135.053,2312307298
2025-08-29,5148.895,5280.313,5108.849,5222.097,2032390613
2025-09-01,5240.637,5282.9,5208.792,5268.168,1971107928
2025-09-02,5257.444,5283.627,5100.082,5142.051,2138627836
2025-09-03,5158.884,5200.256,5104.332,5137.919,1818585622
2025-09-04,5168.028,5236.899,4960.187,5029.378,2100823698
2025-09-05,5027.606,5256.153,5014.394,5251.886,1916208916
2025-09-08,5290.47,5367.54,5259.719,5342.951,2126889067
2025-09-09,5302.34,5324.956,5195.68,5225.136,1628104483
2025-09-10,5214.302,5263.173,5163.531,5226.781,1499589434
2025-09-11,5223.334,5394.453,5204.458,5394.453,2063898837
2025-09-12,5391.647,5422.921,5336.884,5345.06,1718029945
2025-09-15,5424.482,5520.647,5419.884,5451.05,2209326657
2025-09-16,5445.361,5482.555,5369.484,5471.976,1943781074
2025-09-17,5485.431,5615.4,5472.516,5603.642,2328261876
2025-09-18,5586.775,5642.966,5437.255,5509.965,2800735385
2025-09-19,5504.179,5564.021,5473.385,5487.156,1889777574
2025-09-22,5500.938,5524.831,5455.498,5524.517,1859088518
2025-09-23,5528.463,5581.288,5387.999,5505.486,2271090649
2025-09-24,5479.816,5650.829,5470.662,5650.829,2334588247
2025-09-25,5638.39,5772.504,5638.39,5726.857,2193437605
2025-09-26,5712.213,5737.282,5592.056,5595.783,1822774793
2025-09-29,5619.729,5725.982,5615.026,5702.831,1825138278
2025-09-30,5705.034,5760.631,5702.102,5745.626,1827216258
2025-10-09,5759.555,5917.449,5758.178,5860.289,2269298602
2025-10-10,5811.261,5812.629,5580.673,5607.421,2149595450
2025-10-13,5384.183,5571.95,5384.183,5543.157,2013351251
2025-10-14,5625.256,5643.973,5364.15,5386.621,2058924568
2025-10-15,5401.591,5506.868,5340.953,5502.61,1780570227
2025-10-16,5485.003,5559.604,5464.739,5491.159,1657077898
2025-10-17,5474.409,5488.839,5286.531,5291.035,1564152111
2025-10-20,5372.346,5423.868,5323.212,5354.773,1344565482
2025-10-21,5390.761,5469.15,5358.418,5441.787,1470077503
2025-10-22,5410.102,5440.071,5374.293,5393.604,1129394656
2025-10-23,5380.746,5408.544,5303.336,5397.369,1132355579
2025-10-24,5415.785,5505.572,5413.572,5505.572,1430214088
2025-10-27,5583.568,5594.351,5491.584,5570.429,1804284327
2025-10-28,5548.005,5623.965,5529.29,5553.633,1508856807
